Trope,Action,Adventure,Comedy,Horror,Romance,Tragedy,Weird,Science,Mystery,Suspense,Genres
Things get out of hand,0,0,1,1,0,0,1,0,0,0,3
A [crazy/silly/funny] romp,1,0,1,0,0,0,1,0,0,0,3
A [damsel/gent] in distress,0,1,0,0,1,1,0,0,0,0,3
A [weapon/gun/knife] is found,0,0,0,0,0,1,0,0,1,1,3
A brave front,0,0,1,0,0,1,0,0,1,0,3
A desperate act,1,1,0,0,0,1,0,0,0,0,3
A dystopian future,0,0,0,0,0,1,1,1,0,0,3
A fleeting view of [a man/a woman/someone] ,0,1,0,0,1,0,0,0,1,0,3
Cross the streams!,1,0,0,0,0,0,1,0,0,1,3
Fire up the device!,1,0,1,0,0,0,0,1,0,0,3
The moment we’ve all been waiting for,0,0,0,0,1,0,0,1,0,1,3
We’re being followed,1,0,0,1,0,0,0,0,0,1,3
A betrayal,1,0,0,0,1,0,0,0,1,0,3
A paranormal event,0,0,0,1,0,0,1,0,1,0,3
A fortuitous encounter,0,1,1,0,1,0,0,0,0,0,3
A stumbling escape,0,1,1,0,0,0,0,0,0,1,3
Deus ex machina,0,0,1,0,1,0,0,0,0,1,3
It’s alive!,0,0,0,1,0,0,1,1,0,0,3
Don’t make a sound,0,0,1,0,0,0,0,0,1,1,3
A city of [wealth/gold/treasures],1,1,0,0,0,0,0,0,0,0,2
A disturbing outcome,0,0,0,1,0,1,0,0,0,0,2
A lost love,0,0,0,0,1,1,0,0,0,0,2
A new discovery,0,1,0,0,0,0,0,0,0,1,2
A queasy feeling,0,0,0,1,0,0,0,0,1,0,2
It has feelings,0,0,0,0,1,0,0,1,0,0,2
A strange device,0,0,0,0,0,0,1,1,0,0,2
An act of bravery,1,0,0,0,0,1,0,0,0,0,2
An act of deduction,0,1,0,0,0,0,0,0,1,0,2
An epic journey,0,0,0,0,0,1,0,0,1,0,2
An odd couple,0,0,0,0,1,0,1,0,0,0,2
A strange proposition,0,0,1,0,0,0,1,0,0,0,2
An unexplained moment,0,0,0,0,0,0,0,1,1,0,2
An unusual response,1,1,0,0,0,0,1,0,0,0,3
Don’t stop until it’s dead,1,0,0,1,0,0,0,0,0,0,2
Good intentions gone wrong,0,0,0,0,0,1,0,1,0,0,2
Hand held escape,1,0,0,0,1,0,0,0,0,0,2
"If it bleeds, we can kill it!",0,1,0,1,0,0,0,0,0,0,2
If we make it out of this alive…,0,0,0,1,1,0,0,0,0,0,2
Imminent doom,0,0,0,0,0,1,0,0,0,1,2
Obsessing over a question,0,0,1,0,0,0,0,0,1,0,2
Stranger things occur,0,0,0,0,0,0,1,0,0,1,2
The meaning of life,0,0,1,0,0,0,0,1,0,0,2
What does this button do?,0,1,0,0,0,0,0,1,0,0,2
What have I done?,0,0,0,1,0,0,0,1,0,0,2
You can run but you can’t hide,0,0,0,1,0,0,0,0,0,1,2
TOTALS,11,11,11,11,11,11,11,11,11,11,110